timestamp,signal_phase,queue_length,waiting_time,throughput
0,0,43.01,5.16,0.54
1,1,28.94,5.79,3.62
2,1,35.12,4.8,3.69
3,1,30.84,3.02,4.46
4,1,25.71,3.79,6.03
5,1,32.89,4.9,3.8
6,1,40.43,5.65,5.92
7,1,37.58,6.0,4.3
8,1,24.37,1.85,4.44
9,1,19.88,3.7,4.24
10,1,25.01,1.71,5.7
11,1,30.33,3.99,3.65
12,1,11.4,0.0,5.46
13,1,28.25,3.84,5.21
14,1,20.03,0.44,4.4
15,1,24.14,3.24,5.02
16,1,25.65,6.64,3.74
17,1,27.47,1.31,5.69
18,1,33.29,4.29,3.97
19,1,38.34,5.04,4.73
20,1,28.97,3.57,5.73
21,1,40.93,5.84,4.61
22,1,24.68,1.41,5.05
23,1,32.81,6.03,4.39
24,1,37.23,5.26,3.75
25,1,30.75,4.67,4.55
26,1,24.05,2.92,5.69
27,1,22.63,3.83,5.43
28,1,26.34,1.66,4.31
29,1,31.76,5.07,5.52
30,1,21.92,2.02,4.49
31,1,28.33,3.97,3.94
32,1,28.73,4.46,4.72
33,1,34.33,5.16,5.09
34,1,31.72,5.02,4.79
35,1,32.84,4.63,3.02
36,1,24.77,1.5,5.47
37,1,28.96,4.91,4.06
38,1,36.27,4.92,4.44
39,1,41.95,5.59,4.66
40,1,19.93,0.83,6.37
41,1,42.11,5.23,4.09
42,1,40.77,5.68,4.12
43,1,36.25,5.06,4.42
44,1,32.12,4.23,5.15
45,1,27.49,4.79,3.65
46,1,41.66,3.95,3.81
47,1,45.68,4.15,2.75
48,1,44.41,3.25,5.28
49,1,40.52,5.37,4.27
50,1,32.86,4.74,4.26
51,1,20.33,2.78,5.87
52,1,29.96,3.92,4.3
53,1,35.25,1.96,4.7
54,1,19.69,3.03,5.72
55,1,33.16,3.77,4.31
56,1,33.44,6.27,5.1
57,1,35.57,2.95,5.35
58,1,20.53,1.24,5.11
59,1,24.71,3.51,4.91
60,1,26.51,1.09,5.46
61,1,20.64,1.63,4.81
62,1,43.91,7.17,3.03
63,1,26.03,3.78,5.01
64,1,32.63,3.59,4.24
65,1,27.93,5.63,4.14
66,1,42.67,5.83,3.87
67,1,40.56,5.4,3.55
68,1,35.07,3.74,4.23
69,1,12.37,3.11,3.89
70,1,30.42,1.8,5.59
71,1,35.47,5.94,4.27
72,1,38.03,5.9,3.76
73,1,25.06,3.18,4.44
74,1,44.58,8.0,4.23
75,1,19.44,2.76,5.08
76,1,24.71,3.51,4.98
77,1,37.48,3.66,3.36
78,1,30.39,3.24,3.98
79,1,46.02,6.49,4.33
80,1,31.51,4.67,4.65
81,1,24.93,3.51,6.32
82,1,26.98,3.73,4.42
83,1,21.27,4.2,5.35
84,1,19.78,2.2,4.19
85,1,35.04,4.84,3.33
86,1,34.65,2.49,4.3
87,1,40.36,6.07,3.58
88,1,23.96,2.67,4.41
89,1,43.51,7.38,4.09
90,1,27.7,4.2,4.68
91,1,42.6,5.88,4.04
92,1,26.54,1.16,5.94
93,1,24.12,1.22,5.31
94,1,32.0,3.87,3.67
95,1,38.25,4.0,5.05
96,1,31.29,3.27,5.2
97,1,25.32,2.72,4.53
98,1,19.27,1.38,5.81
99,1,18.79,3.39,5.55
100,1,34.02,4.75,4.09
101,1,37.92,6.64,3.96
102,1,28.69,2.37,5.52
103,1,21.41,5.22,3.78
104,1,36.98,3.96,4.28
105,1,19.76,2.7,4.2
106,1,24.3,5.38,3.68
107,1,34.97,5.68,4.6
108,1,12.0,0.0,7.54
109,1,33.09,5.17,6.35
110,1,25.35,5.01,6.3
111,1,30.87,4.39,4.54
112,1,29.39,4.47,3.49
113,1,31.62,2.8,6.07
114,1,35.55,4.41,3.89
115,1,23.93,2.4,6.23
116,1,41.37,3.57,4.27
117,1,35.81,3.51,4.51
118,1,36.75,4.06,4.63
119,1,39.32,3.91,4.6
120,1,36.3,3.62,4.82
121,1,36.75,3.76,3.13
122,1,30.6,5.49,5.07
123,1,18.59,4.07,4.9
124,1,28.92,6.51,4.8
125,1,23.84,2.06,5.03
126,1,18.62,2.75,4.85
127,1,32.07,4.15,5.2
128,1,25.45,2.51,5.36
129,1,21.76,1.77,5.54
130,1,21.66,3.8,5.15
131,1,32.15,5.18,3.9
132,1,32.87,6.57,4.42
133,1,40.58,3.73,3.61
134,1,29.89,5.44,5.18
135,1,38.33,4.17,3.27
136,1,41.22,3.91,3.9
137,1,39.2,5.97,1.96
138,1,11.08,1.31,4.63
139,1,39.83,6.93,4.03
140,1,32.72,1.92,4.45
141,1,33.39,5.56,4.04
142,1,32.97,2.97,5.79
143,1,33.06,3.25,4.61
144,1,32.56,1.6,4.31
145,1,27.13,4.11,4.34
146,1,14.79,1.37,5.84
147,1,29.13,5.14,4.28
148,1,23.57,3.28,4.53
149,1,38.64,3.66,4.9
150,1,27.69,2.22,4.91
151,1,30.67,2.49,4.15
152,1,23.2,1.31,5.63
153,1,25.92,3.84,5.02
154,1,29.91,2.42,4.89
155,1,18.12,1.53,5.94
156,1,32.41,4.05,5.62
157,1,29.15,3.31,5.37
158,0,32.51,4.15,1.03
159,0,22.81,3.69,0.76
160,0,46.1,6.35,0.0
161,0,39.62,3.63,1.57
162,0,37.76,4.7,0.15
163,0,40.11,3.23,0.29
164,0,56.53,6.71,0.17
165,0,41.6,5.72,0.8
166,0,42.69,4.91,0.46
167,0,30.1,4.29,1.16
